review_text,review_date,flavour_name
"I am taking  On's Gold standard since years.i can't say its grey market product but definately something wrong this time. Bright commodities said its genuine product when i sent scratch code but its mixability is really bad, not even mixing with shaker and taste is less chocolaty,i dnt feel any heavyness in stomach after having it. Noticed few changes in packaging. It clearly says FOR EXPORT ONLY and they are printing India's FSSAI green mark on label in USA. Feels like its substandard product. Manufacturing exclusively for people of India. I dnt know whats wrong but its definitely not On's Gold standard Whey that we had earlier. Discarding it and switching to Rule 1 or wild whey",Reviewed in India on 21 August 2018,N/A
"I recived ON GOLD STANDARD 2LB DOUBLE RICH CHOCOLATE on 19th November from cloudtail seller which is a near expiry product. When I call customer care for return pickup they recived my request but nobody came for pickup. I do the same procedure continuesly 5 day & on each day I receive a SMS that ur pickup has been canceled. The customer care has no control on Amazon logistic team or they both (seller, customer care, logistic) are clubbed with each other to harassing the customer. I request the each customer of Amazon please don't buy any Nutrition product from Amazon bcz if u receive any damage or near expiry product ur product will never pick for return, so beaware before buying Nutrition product from Amazon",Reviewed in India on 3 December 2019,Flavour Name: Double Rich ChocolateSize: 2 Lbs
"Why u guys are wasting plastic that much, keep box small as per quantity in it. It is almost half empty.",Reviewed in India on 25 May 2023,Flavour Name: Double Rich ChocolateSize: 2 Lbs
The media could not be loaded.,Reviewed in India on 4 October 2023,Flavour Name: StrawberrySize: 2 Lbs
Dhakan kholne ke baad andar ka seal ni tha  matlab product hume acha ni Mila h or ise return bhi ni kr skte h very bed,Reviewed in India on 22 January 2023,Flavour Name: Double Rich ChocolateSize: 2 Lbs
"I have been using ON product from past 3 years but this time when it delivered it was bit unusual as the packaging was not proper as when I just opened the seal the powder was spilling out , also the packaging colour was little different on the backside(not sure if ON have changed their packaging ) . Also I always use double chocolate so this time it tastes also different , I have texted the code to the given number for the authenticated it got verified as an original product though",Reviewed in India on 8 September 2020,Flavour Name: Double Rich ChocolateSize: 2 Lbs
Flavour is not goodThe quality is not like AmericaOptimum Nutrition is made wrong decisionTo manufactured in India from 3rd partyPlease maintain your company repotation,Reviewed in India on 7 October 2022,Flavour Name: Double Rich ChocolateSize: 2 Lbs
Gold standard whey is now no longer imported but now made in India. Instead of passing of benefit( no international shipping cost and no import custom duty) to the customer they increased the price further.Taste is also nothing great. I would personally go for my protein whey isolate instead of this.,Reviewed in India on 2 April 2022,Flavour Name: Vanilla Ice CreamSize: 2 Lbs
I don't  like this product. Maine mere husband ke liye mangaya tha. But koi result nhi aaya.,Reviewed in India on 24 February 2023,Flavour Name: Double Rich ChocolateSize: 2 Lbs
Taste like crap,Reviewed in India on 29 May 2023,Flavour Name: Vanilla Ice CreamSize: 2 Lbs
Not like the flavour mentioned,Reviewed in India on 14 March 2023,Flavour Name: Vanilla Ice CreamSize: 2 Lbs
"Plastic box quality is below average , even the spoon is hide inside the power and you will.have to insert your hand all the way inside to get that tiny orange spoon out ... Flavour is awful and it will not mix it properly .. you will not feel like drinking this every day ... Simply not the best product I would recommend to anyone",Reviewed in India on 24 January 2021,Flavour Name: Vanilla Ice CreamSize: 2 Lbs
I didn't liked the flavor as well It didn't mix it well with waterI suspect if this is orginal whey protein.I used the whye protien previously which do mix well with water and taste better. After taking orginal whey protein you should feel to energy or the effects of it.Unfortunately I didn't felt anything with this productAs I bought this and need to try few more days and see if it is total worth it,Reviewed in India on 8 March 2019,Flavour Name: Double Rich ChocolateSize: 2 Lbs
I used it for the first time and it smelled awesome I mean like pure chocolate but when I made a shake with water it tasted like water mixibility is bad it forms lumps I don't know if it contains any sugar or not but it tastes plane and when mixed with water it smells bad too. I checked the product on bright commodities and it showed that my product is authentic but I don't know I still have some issues. May be in India these products are not actually authentic. I am not sure,Reviewed in India on 10 March 2018,Flavour Name: Double Rich ChocolateSize: 2 Lbs
I trusted clouldtail to buy supplements believing that i would get original products . It had bright commodities hologram and all which i found was persuasive enough to try it  . But the real thing is when it comes to results . I didn't see any visible results over a months time . the same pack i bought abroad which gave me good visible results within  a month . Hereafter i would prefer buying from Bodybuilding.com directly,Reviewed in India on 21 June 2018,Flavour Name: Cookies & CreamSize: 2 Lbs
Im not sure the product is orignal or no please verify after buying it,Reviewed in India on 25 May 2021,Flavour Name: Double Rich ChocolateSize: 2 Lbs
The product was delivered in nov 2020 and had a date of import as May 2019 and expiry as May 2021.No mention of nearing expiry in the product description. Please refrain from such concealing of information.,Reviewed in India on 12 November 2020,Flavour Name: Double Rich ChocolateSize: 2 Lbs
I frankly am not satisfied with the product. The quantity seemed less than the usual protein powders. And the packaging kind of seemed pre used.,Reviewed in India on 12 May 2021,Flavour Name: Double Rich ChocolateSize: 2 Lbs
It tasted very bad. Then I realized that I bought the product which was close to its expiry date.,Reviewed in India on 25 July 2021,Flavour Name: Vanilla Ice CreamSize: 2 Lbs
Iss se kuch b nhi hota. Useless product,Reviewed in India on 14 November 2021,Flavour Name: Double Rich ChocolateSize: 2 Lbs
"If you're not a coffee drinker or have a low tolerance for caffeine, this will keep you up at night.",Reviewed in India on 18 August 2021,Flavour Name: Mocha CappucinoSize: 2 Lbs
Not better,Reviewed in India on 22 April 2022,Flavour Name: Double Rich ChocolateSize: 2 Lbs
The product is almost 2 yrs old. Not happy,Reviewed in India on 8 May 2021,Flavour Name: Double Rich ChocolateSize: 2 Lbs
"I have bought chocolate flavour, tastes really bad. taste wise ultimate nutration is better and value for money as well.",Reviewed in India on 24 May 2021,Flavour Name: Double Rich ChocolateSize: 2 Lbs
"Today when I open the Box, I find box almost half ( around 60% ) filled with powder.Not sure if this is correct as I had more content in my earlier purchase",Reviewed in India on 18 October 2020,Flavour Name: Double Rich ChocolateSize: 2 Lbs
When I received on whey protein ...I used one scoop of whey in water and mix it but not mixed properl and showing lumps ...,Reviewed in India on 22 January 2021,Flavour Name: Double Rich ChocolateSize: 2 Lbs
"Other brands container is covered, but ON's container is not covered",Reviewed in India on 4 January 2021,Flavour Name: Double Rich ChocolateSize: 2 Lbs
"Taste not food. Doesnt taste like chocolate, tastes more like cocoa ! Too hyped!",Reviewed in India on 4 November 2020,Flavour Name: Double Rich ChocolateSize: 2 Lbs
Bodybuilding,Reviewed in India on 29 March 2022,Flavour Name: Double Rich ChocolateSize: 2 Lbs
Good,Reviewed in India on 20 March 2022,Flavour Name: Double Rich ChocolateSize: 2 Lbs
I recieved a damaged product.Pictures are attached.,Reviewed in India on 18 August 2021,Flavour Name: Double Rich ChocolateSize: 2 Lbs
Not good fake product,Reviewed in India on 19 September 2021,Flavour Name: Double Rich ChocolateSize: 2 Lbs
"Is it Original? , as i am unable to trace via authentication code.",Reviewed in India on 24 August 2020,Flavour Name: Double Rich ChocolateSize: 2 Lbs
"Sealed box,  genuine from importer. However,  the product has already lost 60% of its shelf life before arrival. Bought this product in March 2019 and received a box that was Manufactured Jan 2018, Expiry Jan 2020.",Reviewed in India on 13 March 2019,Flavour Name: Double Rich ChocolateSize: 2 Lbs
High side effects,Reviewed in India on 12 August 2021,Flavour Name: Double Rich ChocolateSize: 2 Lbs
Poor product,Reviewed in India on 2 September 2021,Flavour Name: Extreme Milk ChocolateSize: 2 Lbs
This come to me without tight plastic seal on the cap. It looked that it's used before..Flavour and absorbency was good,Reviewed in India on 6 July 2020,Flavour Name: Double Rich ChocolateSize: 2 Lbs
"Package sent to me was manufactured in 2018. Though expiry is 2 months away, I don't feel good about consuming it:(",Reviewed in India on 12 July 2020,Flavour Name: Double Rich ChocolateSize: 2 Lbs
We have been giving our son Whey Protien for the past 3 months. Last week my son was seriously ill with severe heart palpitation and breathlessness. The doctors attending to him in a major hospital said Whey protien may have produced this. We checked it out on the web and found this to be true. Please check under Whey Protien and Arthythmis and you will know what Iam talking about. It almost proved fatal to our son. We have taken him off it and he's much better.,Reviewed in India on 27 June 2015,Flavour Name: StrawberrySize: 2 Lbs
The rating is only for the taste of the flavour mocha cappuccino. It is quite terribly sweet. Tried with water and with milk. But sweet either ways. Dont think any health conscious person would like this overly sweet flavour,Reviewed in India on 4 November 2019,Flavour Name: Mocha CappucinoSize: 2 Lbs
I ordered the double chocolate flavour. It is an utter dissapointment. Doesn't even feel like original.Cappucino mocha was much much better.I dont know if Amazon would take back the opened box.,Reviewed in India on 25 January 2019,Flavour Name: Double Rich ChocolateSize: 2 Lbs
,Reviewed in India on 31 July 2021,Flavour Name: Double Rich ChocolateSize: 2 Lbs
"Not sure if authentic, tastes different compared to what I used to get in UK. No authenticate covering once you open the lid (may be different packaging). Although bright commodities is listed on ON site (that's a bit of relief). Will try and verify with them if this product actually imported by them",Reviewed in India on 17 October 2017,Flavour Name: Double Rich ChocolateSize: 2 Lbs
When I first ordered I got real product but when second time I ordered I got duplicate. It was not properly dissolving  in milk/water,Reviewed in India on 26 November 2019,Flavour Name: Cookies & CreamSize: 2 Lbs
"I received this product, but quantity is less than mentioned on product and packaging is also damaged",Reviewed in India on 9 February 2020,Flavour Name: Extreme Milk ChocolateSize: 2 Lbs
I m not satisfy with this product because of poor packaging and also i m not sure wheather this product original or not..,Reviewed in India on 27 November 2019,Flavour Name: Cookies & CreamSize: 2 Lbs
"The product delivered was faulty one, there was no lead cover when I opened the product. Seems someone has already used it",Reviewed in India on 18 June 2019,Flavour Name: Double Rich ChocolateSize: 2 Lbs
Received the protein powder today. It should weigh two pounds but the container is about 60 to 70 percent full. Apparently the container has been opened and some product removed.,Reviewed in India on 23 December 2018,Flavour Name: Double Rich ChocolateSize: 2 Lbs
the protien powder lacks the taste and the impact which other protien powder provides  -Gymmer,Reviewed in India on 30 July 2019,Flavour Name: Double Rich ChocolateSize: 2 Lbs
"Its effective..Mocha cappuccino flavour is 8/10..but it might be unsafe to consume..On gold uses flavoring agents ( sucralose and acusulfame potassium) that are controversial(might be unsafe) chemicals.. Its better to eat whole foods than using supplements..Previously used flavours_ (double rich chocolate flavour (4/10),maybe a bad batch, french vanilla icecream (7/10)..In future, i will never use ON again.",Reviewed in India on 31 March 2018,Flavour Name: Mocha CappucinoSize: 2 Lbs
Please anyone help me24 g is written not 24 G in the main labelTell me is this fake?,Reviewed in India on 27 February 2020,Flavour Name: Double Rich ChocolateSize: 2 Lbs
"I got this product, few minutes ago, why they putted scratch at  bright commodities bill, any use of it? When will I claim my benefit?  after use I will write my review, Thank you",Reviewed in India on 21 June 2018,Flavour Name: Double Rich ChocolateSize: 2 Lbs
There was no silver foil or anything with the product. Primarily it was plastic bottle with a cap but no coverage of the content. I am not sure whether  it is a genuine product or got tripped. NOT satisfied with this part . Did anybody else face this problem or you received the sealed bottle.,Reviewed in India on 29 January 2016,Flavour Name: Double Rich ChocolateSize: 2 Lbs
i am not sure its even genuine. its better to spend some extra money and go to a offline store and buy it from someone who will ensure authentic product.TASTE IS BAD AND DOESN'T EVEN DILUTE PROPERLY. SMELLS LIKE COMPLAN.,Reviewed in India on 4 July 2017,Flavour Name: Double Rich ChocolateSize: 2 Lbs
"Product doesn't seem original,taste is very different from original.Better buy from shop as the cost us t that different",Reviewed in India on 21 March 2019,Flavour Name: Double Rich ChocolateSize: 2 Lbs
There was no seal inside the container,Reviewed in India on 15 July 2020,Flavour Name: Extreme Milk ChocolateSize: 2 Lbs
Rocky road flavour seems like medicine. Very bad flavour . Really disapointed by it. Recently i hv tried iso sensation mocha cuppuchino nd my protein's vanilla nd myprotein's strawberry. These r far better than ON's rocky road. Although mixability is really gud than iso sensation and myprotein.,Reviewed in India on 26 September 2017,N/A
When i got yhe product tge seal was broken and about 20% empty,Reviewed in India on 29 June 2019,Flavour Name: Double Rich ChocolateSize: 2 Lbs
Just like drinking bournvita,Reviewed in India on 14 December 2020,Flavour Name: Double Rich ChocolateSize: 2 Lbs
"It shows result, but it has huge side effect, but leg's swelled, become reddish, couldn't use more than 15 days",Reviewed in India on 5 July 2018,Flavour Name: StrawberrySize: 2 Lbs
Not much taste of chocolate,Reviewed in India on 10 March 2020,Flavour Name: Double Rich ChocolateSize: 2 Lbs
"I do not recommend, its not at all worth the investment. Tried One Box and never felt its giving you some sort of push. Better try other product lfrom GNC or H&B.",Reviewed in India on 29 April 2018,Flavour Name: Double Rich ChocolateSize: 2 Lbs
Not best,Reviewed in India on 7 February 2021,Flavour Name: Double Rich ChocolateSize: 2 Lbs
I am using this product 20 days but not different in my body  to buy this product waste money,Reviewed in India on 22 October 2018,Flavour Name: Double Rich ChocolateSize: 2 Lbs
Authenticity issue,Reviewed in India on 17 January 2021,Flavour Name: Double Rich ChocolateSize: 2 Lbs
The product is not mixing properly in water.genuine product mixes well and fully in water without any crystals,Reviewed in India on 18 September 2018,Flavour Name: Double Rich ChocolateSize: 2 Lbs
"The container was tampered, the replacement container was also tampered, I asked for refund and got refund, pictures are added for further insight.",Reviewed in India on 16 June 2018,Flavour Name: Double Rich ChocolateSize: 2 Lbs
2 rating for taking it back. I was intended to put 1 rating. Powder was old and didn't get dissolved in milk/Water.,Reviewed in India on 15 April 2018,Flavour Name: Double Rich ChocolateSize: 2 Lbs
Flavour is very bad in taste and the product is ineffective,Reviewed in India on 21 May 2019,Flavour Name: Double Rich ChocolateSize: 2 Lbs
Hardly believe the authenticity of the product..,Reviewed in India on 11 June 2020,Flavour Name: Double Rich ChocolateSize: 2 Lbs
Don't buy this product becous I got totally fack protein inside a box,Reviewed in India on 30 January 2019,Flavour Name: Double Rich ChocolateSize: 2 Lbs
Wrost products,Reviewed in India on 4 March 2020,Flavour Name: Double Rich ChocolateSize: 2 Lbs
Product was not upto mark...Mixed product,Reviewed in India on 12 July 2019,Flavour Name: Double Rich ChocolateSize: 2 Lbs
I doubt it's genuine... the taste is different... also it's thinner and the scoop which is always present with optimum nutrition is missing,Reviewed in India on 26 May 2017,Flavour Name: Double Rich ChocolateSize: 2 Lbs
Not  so good,Reviewed in India on 2 November 2019,Flavour Name: Double Rich ChocolateSize: 2 Lbs
Box was opened already,Reviewed in India on 29 June 2020,Flavour Name: Double Rich ChocolateSize: 2 Lbs
Not good....as per cost,Reviewed in India on 6 October 2019,Flavour Name: Double Rich ChocolateSize: 2 Lbs
There is no scoop inside package so I have doubts about the originality.,Reviewed in India on 8 October 2018,Flavour Name: Double Rich ChocolateSize: 2 Lbs
I don't like the taste.. Double Chocolate was way better than this one.,Reviewed in India on 1 June 2018,N/A
"The powder produces a white layer while mixing with water, please tell me why?",Reviewed in India on 7 August 2018,Flavour Name: Double Rich ChocolateSize: 2 Lbs
Only 2 months for expiry date left,Reviewed in India on 28 March 2019,Flavour Name: Double Rich ChocolateSize: 2 Lbs
It was one year old product.mfg date should always be mentioned on website where there is non returnable item.,Reviewed in India on 21 September 2018,Flavour Name: Mocha CappucinoSize: 2 Lbs
Box is really very small try purchsing a big one... it is actually not expensive of you calculate,Reviewed in India on 27 September 2017,Flavour Name: Double Rich ChocolateSize: 2 Lbs
This shows no result. It blots the belly..,Reviewed in India on 26 November 2018,Flavour Name: Double Rich ChocolateSize: 2 Lbs
not as expected,Reviewed in India on 29 June 2019,Flavour Name: Double Rich ChocolateSize: 2 Lbs
Thik thak,Reviewed in India on 17 July 2019,Flavour Name: Double Rich ChocolateSize: 2 Lbs
Jhatoon,Reviewed in India on 25 June 2019,Flavour Name: Double Rich ChocolateSize: 2 Lbs
