review_text,review_date,flavour_name
Verified on is saying it's legit product but i am facing following problem :-1. No seal is present. Yes it is one of the top brand but no seal. They give code on the box but what will i do with the box if lid can easily be slided and some additional things can be added. Am supposed to eat box or the protein inside it? Even a cady is better wraped then this whey.2. Its is some what soluble but some of the part stays on the top when mixed with milk ( cold as well as hot milk ) didn't expect that from a world renowned brand like on and takes too much time to mix.3. It's September 2023 but i got product with mfg date june 2022 although it's not expired yet but why am I getting 1 yr late product.I will never buy anything from on ever again.,Reviewed in India on 18 September 2023,Flavour Name: Extreme Milk ChocolateSize: 2 Lbs
"It  seems fake, tastes bad, and SMS authentication yielded no response.",Reviewed in India on 2 July 2024,Flavour Name: Double Rich ChocolateSize: 2 Lbs
"I had heard about this scam about buying protein powder online but experienced it for the first timeThe product was completely sealed at the time of delivery but when I opened it, the protein powder content was only at 40% of the box. Rest of the box was empty.",Reviewed in India on 11 April 2024,Flavour Name: Double Rich ChocolateSize: 2 Lbs
This product was a blatant duplicate of the original and otherwise good quality protein powder. Never ordering protein from Amazon again.,Reviewed in India on 10 May 2024,Flavour Name: Double Rich ChocolateSize: 3.7 Lbs (1.7 Kg )
"The powder in the box is adulterated. It is sticking to the box, it smells fine but there is a bitter after taste. This product has been made in India and is not to be confused with the ""for export only"" products. The quality is not up to the mark and sadly, cannot be refunded either. DO NOT BUY for a pregnant woman. Not safe.",Reviewed in India on 23 January 2024,Flavour Name: Vanilla Ice CreamSize: 2 Lbs
"Vertigo is dizziness that creates the false sense that you or your surroundings are spinning or moving. This may be associated with nausea, vomiting, sweating, or difficulties walking.The cardboard box in which the product was delivered was absolutely damaged but the product was genuine on ON's site. It seems to me that the box was cut and then again sealed back at the bottom. 60-80g of the sample is enough to induce swaying sensations. I still have the powder, will probably throw down the drain or toilet. Loss of ₹3000 plus ₹2500 in doctor's fees and medicines.Will buy only from brick and mortar stores now.",Reviewed in India on 30 September 2023,Flavour Name: Double Rich ChocolateSize: 2 Lbs
"This protein powder is fake. Don't waste your money buying this. I think powder is mixed with wheat flour, actually I would say wheat flour is mixed with small quantity of chocolate powder.",Reviewed in India on 29 March 2024,Flavour Name: Double Rich ChocolateSize: 2 Lbs
I tried verification using secret code to check genuine or not..I don't get any reply..I think it's duplicate I'm being fooled,Reviewed in India on 5 May 2024,Flavour Name: Double Rich ChocolateSize: 2 Lbs
"Got it delivered today evening, when I opened it there was no induction seal. It felt strange so I compared this pack with my earlier used empty box (that also was ordered on Amazon only). Now you can see in the photos- right(or the bottom one for portrait pics) one is the earlier used box in each pic. Label size is different, brand fonts/sizes are different, look and feel of box is different, lids in both bottles have a different shape on the side and different grain on the top. When we tried to scratch the code out for 100% authentic  verification it did come out completely and we didn't get to see the code for validation....Please do consider these facts... It's not only money it's your health that's at stake.",Reviewed in India on 25 May 2023,Flavour Name: StrawberrySize: 2 Lbs
I’ve tried to verify this product with the code but couldn’t verify. I’m worried if it is genuine or not,Reviewed in India on 17 April 2024,Flavour Name: Extreme Milk ChocolateSize: 2 Lbs
"The media could not be loaded.
                



Package quality of instruction sticker very bad for India manuf double chocolate flavour, looks compromised for cost when compared to imported. I hope similarly the inner content of protein powder is not compromised. Difficult to say now. Compromise is evident on brand sticker which in itself is a proof that there may be compromise on quality for more profits, as the local manuf and plus is still same price, then why consumers to buy localised product with quality compromise. We may buy some other brand which is imported as In india the food quality checks cannot be trusted and stringent as USA quality. Very bad, now we can't trust the system authentication as the system authenticated product itself looks compromised. Manufactured in India was hidden by a sticker for some reason I don't know why. So it seems Optimum Nutrition wants just profits on his brand and any Tom Dick Harry will manuf in india.",Reviewed in India on 31 January 2022,Flavour Name: Double Rich ChocolateSize: 2 Lbs
I was using chocolate flavour which was good. Ordered this by mistake. This is frothy and too sweet. I doubt if this is original.,Reviewed in India on 8 April 2024,Flavour Name: Vanilla Ice CreamSize: 2 Lbs
It swelled my gall bladder and enlarged my spleen . It is nothing but poison,Reviewed in India on 3 April 2024,Flavour Name: Double Rich ChocolateSize: 2 Lbs
The product was fake . not receive any message when i sent  to the ON product official number to verify .,Reviewed in India on 4 March 2024,Flavour Name: Double Rich ChocolateSize: 2 Lbs
Mango flavour has mixability issue.,Reviewed in India on 16 May 2024,N/A
very cheap and low quality products please don't buy i am face health issue but no help received both side place don't buy,Reviewed in India on 27 February 2024,Flavour Name: Double Rich ChocolateSize: 2 Lbs
"The media could not be loaded.
                



I didn’t like bottom of the product as it seems like refilled with fake powder !!! And I didn’t even get replacement",Reviewed in India on 17 February 2024,Flavour Name: Double Rich ChocolateSize: 3.7 Lbs (1.7 Kg )
"The media could not be loaded.
                



1) Product Authentication:-I was not able to authenticate this product on ON website as the sticker on the unique code didn't come out to get the unique code. The last product I have purchased thru a local seller and I was able to remove the unique code sticker easily and authenticated the product.2) Manufacturing date-This product doesn't have the manufacturing date or the batch number details.3) Quality of product-The power has moisture as compared to my earlier product. Also, it doesn't have that aroma. It seems like this is a OLD stock itemPLEASE DON'T BUY THIS",Reviewed in India on 2 October 2022,Flavour Name: Mocha CappucinoSize: 2 Lbs
"Ordered on 5 Feb and received 8 Feb .I could not authenticate the product and the customer care did the authentication of the product on my behalf ! I wonder what different procedure they did and it got authentication right as there are only 2 ways to do so ..I opened the jar and it had no seal in the inside to protect it from moisture ..I was not able to mix it well with the water ..The smell is something weird and also taste is something like a cough syrup nothing like a double chocolate..The consistency is too wattery after mixing.The 10 Days Return / Replacement is a total scam with this product , so don't believe what the tab below the product says! As you try to get it replaced or try to return it, they can only connect you to the Amazon customer care who in turn will ask  to mail and connect with the manufacturer.Overall not worth and a disappointment. Don't buy this product online !!",Reviewed in India on 13 February 2021,Flavour Name: Double Rich ChocolateSize: 2 Lbs
"The media could not be loaded.
                



I've ordered and received this product by March 2021... I've consumed only 30% of this protein powder. I didn't notice the expiry date.. I've been using since March and have been out of station for a while..  When I started using again it is August 2021 already and it tastes no good and found lumps...  Then when I check the expiry date it was expired July 2021 and manufactured date was July 2019.. How come the company supply products with such short expiry dates and expect consumers to consume it quick????  It is very expensive by the way....  Really such a bad experience with such big company...",Reviewed in India on 12 August 2021,Flavour Name: Double Rich ChocolateSize: 2 Lbs
Poor taste. No taste of Double rich chocolate flavour. Generally I rarely use protein shake. This is the 3rd time I purchased ON whey. I remember first time I purchased this product 8 years back which has a great taste  of Double rich chocolate flavour and great quality( I think that was USA made). This one has zero taste. Poor quality product.,Reviewed in India on 16 July 2023,Flavour Name: Double Rich ChocolateSize: 2 Lbs
Fake product,Reviewed in India on 28 April 2024,Flavour Name: Double Rich ChocolateSize: 2 Lbs
Fake Product as Authentication code looks tampered and container did not have aluminium foil seal. Unfortunately my family member used it and hence not able to return but this sure is fake.,Reviewed in India on 27 December 2023,Flavour Name: Vanilla Ice CreamSize: 2 Lbs
There was no seal and the powder looked very finely grinded.I got it tasted because I started having a lot of acne and the test result showed that it is adulterated.Don't trust the seller.,Reviewed in India on 15 January 2024,Flavour Name: Double Rich ChocolateSize: 2 Lbs
The product original brand plastic box packaging was tampered and the protien powder inside seemed to be  replaced by some other chocolate flavoured horlicks like powder.,Reviewed in India on 7 February 2024,Flavour Name: Double Rich ChocolateSize: 3.7 Lbs (1.7 Kg )
"Worst decision ever to buy this 'rich double chocolate' and now unable to return it. Disgusting smell and taste. There's zero chocolate flavour, tastes like bad flavoured water and what's worse, some artificial sweetener has been added which makes taste even stranger.",Reviewed in India on 13 November 2023,Flavour Name: Double Rich ChocolateSize: 3.7 Lbs (1.7 Kg )
Got the duplicate product😈,Reviewed in India on 21 March 2024,Flavour Name: Double Rich ChocolateSize: 3.7 Lbs (1.7 Kg )
"Ordered the product on january sale and recieved today on 26th jan I was happy as I bought it for a very low price than the market and as soon as I got my hands on the product I opened it the first thing that shocked me that there is no interior lid covering this was strange and unusual as the product always comes with a interior lid although the seal was intact so I thought everything is right but as soon I smelled it my doubt on the authenticity of the product becomes crystal clear, I took one scoop and mixed it with water bingo it is not mixing with water. I dont know how this happens as the seal is from On is intactand also the distrubutor seal is also ok but how could this happen I cant understand that, abd from now no protein from internet. Tchao",Reviewed in India on 26 January 2019,Flavour Name: Double Rich ChocolateSize: 2 Lbs
Amazon is selling old stock through their platform and don’t do any product review. Amazon should ask suppliers to follow some standard protocol relating to product quality to have better customer experience.,Reviewed in India on 10 January 2024,Flavour Name: Double Rich ChocolateSize: 3.7 Lbs (1.7 Kg )
Waste product,Reviewed in India on 19 March 2024,Flavour Name: Double Rich ChocolateSize: 2 Lbs
Fake,Reviewed in India on 7 April 2024,Flavour Name: Double Rich ChocolateSize: 2 Lbs
"I mean very bad in flavor, felt very adulterated and felt fake. Didn't mix well and It was very bad in terms of flavor.",Reviewed in India on 20 January 2024,Flavour Name: Double Rich ChocolateSize: 2 Lbs
"Stay away from buying this product here. I bought double chocolate flavour. The box said it was double chocolate, however inside was some different flavour. SMS to check genuine ness of product also did not work",Reviewed in India on 21 October 2023,Flavour Name: Double Rich ChocolateSize: 2 Lbs
Poor taste,Reviewed in India on 27 March 2024,Flavour Name: Vanilla Ice CreamSize: 2 Lbs
Be very careful when unboxing the product. I received a jar where the authenticity seal was placed on top of another existing one (which was scratched off already). Even the paper seal below the lid was missing.,Reviewed in India on 23 November 2023,Flavour Name: Double Rich ChocolateSize: 2 Lbs
Received the product but it was found to be duplicate one. The six digit code was not found in the ON website. Useless!!,Reviewed in India on 2 January 2024,Flavour Name: Double Rich ChocolateSize: 2 Lbs
"Bad packing, box damaged when I received it. The bar code has 2 stickers on top of each other,  so effectively there are 3 bar codes, one printed on the box and other 2 stuck on the original one. I tried reading the top most but the bar code was NOT FOUND. Then I peeled off the top most bar code and tested the one printed on the bottle and it took me to the ON website. I don't understand why they have 3 bar codes and only one was read by the machine.The whey pounder has some white color material in it.The packing and the seal was not proper and it is safe to say that I was damaged.Not sure if Amazon is selling original ON products. The lid of the bottle opened without removing the seal. Funny!And even some whey pounder came out, though it was very little, it means that may not have been vacuum packed which suggests tampering.Not happy.",Reviewed in India on 9 October 2017,Flavour Name: Double Rich ChocolateSize: 2 Lbs
"I guess I got a fake product. When I started using this I used to sweat a lot. My LDL levels increased because of this. I stopped immediately after two months of usuage. I did a little R&D thru YouTube about genuine product .I took my box again after a year and notice that a white MRP and discount sticker put in the place of bright commodities scratch code . I peeled that  sticker and notice the scratch card and  tried to scratch it . The ""scratch here"" was a hologram sticker and despite scratching, it didn't show any code . Please see the pic attached . The product expiry of my box is 08/19 and I still have half of the powder left.Amazon should really consider monitoring the fake products and consider the issue seriously and take action sellers. They are playing with health.",Reviewed in India on 19 November 2019,Flavour Name: Double Rich ChocolateSize: 2 Lbs
"I have received a fake product; the protein is not dissolving, and in the authentication process, it is already showing as authenticated. Additionally, the box is only half-filled.",Reviewed in India on 10 December 2023,Flavour Name: Double Rich ChocolateSize: 2 Lbs
"If you visit Optimum Nutrition official website to check the genuineness of their product, there are several tests that they recommend. And the product which I received didn't passed those tests.1. There is absolutely no seal, which is completely is contrast to what the website said. Product is readily available to rotate the cap anticlockwise and use. It's just like every other home container.2. The hologram is sticker on above the cap. Not in proper place.3. Container's bottom is not matching the description that's stated on official website.I've performed these tests only on packaging and container and it looks fake that way. However, I haven't used any sort of protein before so I'm clueless how to test the actual product.N.B.: I'm only doubting the genuineness of this product by looking at the packaging because it doesn't match the one described on the official website. However if that's how its supposed to be, than its also possible that it may be a genuine product.",Reviewed in India on 3 December 2016,Flavour Name: Double Rich ChocolateSize: 2 Lbs
"Even though i could authenticate it on official website, the solubility is very very bad👎👎. I have been a regular user of ON buying it mostly from offline. As you can see in image, it is not disolving in water at all And taste is also not good. Won't buy ON ever from offline or online",Reviewed in India on 10 April 2023,Flavour Name: Double Rich ChocolateSize: 2 Lbs
Received an expired product keep eye on mfg date or expiry date on packaging,Reviewed in India on 17 December 2023,Flavour Name: Extreme Milk ChocolateSize: 2 Lbs
,Reviewed in India on 17 February 2024,Flavour Name: Double Rich ChocolateSize: 3.7 Lbs (1.7 Kg )
"This was my first Whey protein powder, but it didn't give me the expected muscle growth, I was hoping for. If I compare it with the other protein powders which I have tried till now, it also didn't taste the same. Maybe I was an absolute beginner during that period when I purchased it.Also, when it came to me, there was no seal beneath the cap.",Reviewed in India on 23 December 2022,Flavour Name: Double Rich ChocolateSize: 2 Lbs
"The media could not be loaded.
                



Not good bad product",Reviewed in India on 12 March 2024,Flavour Name: Vanilla Ice CreamSize: 2 Lbs
"Stop selling old products to your customers. this is a product those who use will buy on a regular basis, The product has a shelf life of 2 years, and they are selling it right at the end of its shelf life with a couple of months left. It affects the efficacy of the product. Stop robbing your customers, please dont buy unless its a fresh stock. highly disappointing attitude coming from a trusted seller like cloudtail. Just buy from a local shop even if it costs a few extra bucks. not worth using old products",Reviewed in India on 22 March 2021,Flavour Name: Double Rich ChocolateSize: 2 Lbs
"I am allergic to gluten and purchased this as its advertised as gluten free . When I received the product its written in bold as GLUTEN FREE . But in fine print they write ""Processed in a plant where gluten containing products are manufactured"".",Reviewed in India on 14 June 2023,Flavour Name: Double Rich ChocolateSize: 2 Lbs
"The product i recieved is going to expire in coming few months and according to amazon it is okie to have a product which is having expiration date more than one month. But dear , jeff bezoz, how can someone consume the hole protien within specific period of time which is going to expire in the middle stage of the trainning? Your coordinator should have been sent the product which atleast have one year of expiration date such that a customer can consume it. Otherwise its totally a wastage of money if the product gets expire before consuming it all.",Reviewed in India on 1 February 2021,Flavour Name: Extreme Milk ChocolateSize: 2 Lbs
Its a Fake product and never ever ordered from the false seller like RK world,Reviewed in India on 7 December 2023,Flavour Name: Double Rich ChocolateSize: 2 Lbs
"I use ON as usual Whey Protein for myselfusually I buy it from Shop or from my instructor straight from GYM,  this was my first time I bought it online and didn't like the taste at all, the inside lid was missing but it was sealed with transparent plastic from outside quite STRANGE!!!this isnt as effective as what i experienced usually...cant really comment on the sancity of the product but for sure something is wrong with the box I received and doesnt worth even 100 bucks whereas I have paid morethan 2.5 k on itfor me I wasted my money and lesson learnt not to go online when it comes to shop Whey Protein or supplements",Reviewed in India on 4 March 2020,Flavour Name: Cookies & CreamSize: 2 Lbs
"After a couple of days of use and some weird flavour profile, I realized that there is an option to check authenticity. Checked the ON website and sms service, couldn't verify authenticity on either. Unsure if it's protein or something which might make me sick on consumption.",Reviewed in India on 11 May 2023,Flavour Name: Vanilla Ice CreamSize: 2 Lbs
The expiry date in the product was not genuine. The product started to behave differently - got body ache and eyes started paining stopped the intake of the Whey everything was fine. The product had one year expiry while using for first 6 month nothing troubled later it reacted different behaviour.,Reviewed in India on 28 March 2023,Flavour Name: Double Rich ChocolateSize: 2 Lbs
"I don’t think that was originalIt’s 100% fake, very weird taste",Reviewed in India on 12 December 2023,Flavour Name: Double Rich ChocolateSize: 2 Lbs
"Follow IG: bodybuilding_supplement_stackI was told by the customer care at amazon that ON was fully imported from either US or UK, the only place where they have manufacturing plants but a simple google search shows Tirupati Sports Nutrition company manufactures ON and other brands right here in India. The bottle looks authentic but the powder inside was a little off. Maybe it got damaged in Indian weather conditions. Or maybe it’s Indian ON. I don’t know. Definitely tasted different from the ON I’ve been eating for years! Got a refund for it so I guess I shouldn’t complain. But got me thinking, why pay premium price for this product?",Reviewed in India on 11 September 2020,N/A
Bottom of the container was tampered. Clearly it can be seen that the bottom of container was cut with something and the original product was replaced.WARNING: It's about health and selling such faulty products can seriously impact health.So double check every sign of any anomaly in the product and even when you see a slight sign of fake/tampering simply return it. No chance with health at all.,Reviewed in India on 30 July 2022,Flavour Name: Double Rich ChocolateSize: 2 Lbs
"The media could not be loaded.
                



I will request Amazon to take returns and give me the same original protein, after taking this my body is losing energy.",Reviewed in India on 1 October 2023,Flavour Name: Double Rich ChocolateSize: 2 Lbs
"This product is not upto the mark.. didn't serve the purpose.After consuming this is for 15day... Digestive issues, bloating issues..Not recommended at all..",Reviewed in India on 10 September 2023,Flavour Name: Double Rich ChocolateSize: 2 Lbs
"It’s a fake product without any seal, also the packaging mold is open from bottom.I have stopped taking it now as my health deteriorated after consuming it.Beware before buying.",Reviewed in India on 5 September 2023,Flavour Name: Cookies & CreamSize: 2 Lbs
"I recieved the scoop which had PLASTICSCOOP.NET written on it!!!I bought ON whey protein vanilla ice cream flavour. It has no bottom print of manufacturing, batch number and bottom of it is rough compared to the original one which is smooth. ON never seals the inside of it's lid with plastic seal, it's seal always comes in the top of the cap. For comparison, here's Cookies and Creams Flavour which I had bought from an offline store.",Reviewed in India on 29 January 2022,Flavour Name: Vanilla Ice CreamSize: 2 Lbs
Authentication is not working. This could be a fake product,Reviewed in India on 8 December 2023,Flavour Name: Double Rich ChocolateSize: 2 Lbs
I found it sweater than other brand which I purchased from Amazon only. It is costly than that.,Reviewed in India on 24 October 2023,Flavour Name: Double Rich ChocolateSize: 2 Lbs
Total waste of money as per price Total waste of money plls don't buy it no resultsPlls don't go for it,Reviewed in India on 1 October 2023,Flavour Name: Double Rich ChocolateSize: 2 Lbs
Bye bye amazon.  Very bad experience.  Box is open without any seal. Seems used product.  Foul smell is coming. Tastes very bad,Reviewed in India on 25 July 2023,Flavour Name: Cookies & CreamSize: 2 Lbs
"The media could not be loaded.
                



When i open the box of protein whole protein powder was leaked and spoiled in the shipping box i want a quick solution!Plz help me ..",Reviewed in India on 28 May 2023,Flavour Name: Double Rich ChocolateSize: 2 Lbs
I have received fake product,Reviewed in India on 16 December 2023,Flavour Name: Double Rich ChocolateSize: 2 Lbs
"It smells bad, tastes stale and bad. We have ordered the same product for the second time but it is nowhere close to the earlier one.",Reviewed in India on 26 June 2023,Flavour Name: Double Rich ChocolateSize: 3.7 Lbs (1.7 Kg )
Don't buy this product because of they are showing 10 days of return policy but if you want to return the product Amazon not response properly and their customer service also and they tell you contact the on optimum costumer service.....and if your contact them they are also not response you so worst return option I ever seen......they didn't mention what the Amazon costumer service tells about return policy,Reviewed in India on 13 January 2022,Flavour Name: Double Rich ChocolateSize: 2 Lbs
"Since, I am buying ON products, I believed that it would provide me with scoop to measure intake of my protein but believe me it was not there. Now, I have to go to another shop just to buy scoop.",Reviewed in India on 6 February 2023,Flavour Name: Double Rich ChocolateSize: 2 Lbs
There's something wrong with the one I got. It tastes weird.,Reviewed in India on 24 October 2023,Flavour Name: Double Rich ChocolateSize: 2 Lbs
"I am truly disappointed with the product. I received protien which was manufactured 1.5 years ago and will expire in next 7 months.Beware that it's not an exception, they will deliver old stock only. I discussed with Amazon representative on this, I requested him for replacement. He said that on site itself it was mentioned that protien will expire by May 2021. But it was not written that it would be 1.5 years older.  So no replacement.. :(So guys please be careful before you order it.",Reviewed in India on 28 December 2020,Flavour Name: Double Rich ChocolateSize: 2 Lbs
"I feel this is a baby drink with drinking chocolate like taste. Its useless and worthless, I have a good body and I drink whey protein of ON since last 2 years, this is the first time I got a baby powder then a whey protein, now I am clear why they are looting the public at dirt cheap price coz 90% its drinking chocolate and milk powder in it. Rest 9% seems sand and 1% protein(as I paid 1% is what I should give)...This is a wake up call for all buyers that ecommerce bubble is bursting by this fake products as this guys have started running out of money so they provide such fake product.Wake up amazon!! you cannot do this to Indian buyers. It can be really injurious to you brand. Stop giving the fake products. USELESS PRODUCTS WHICH CAN BE INJURIOUS TO MY HEALTH!!!",Reviewed in India on 28 November 2015,Flavour Name: Double Rich ChocolateSize: 2 Lbs
I just found small papers inside this box. No stars,Reviewed in India on 7 November 2023,Flavour Name: Double Rich ChocolateSize: 2 Lbs
"The media could not be loaded.
                



Fake product. There was no seal and no authentic bar code . This kind of malpractice is not only will cost money but will have dangerous affect on health . Please be careful before purchase it .",Reviewed in India on 5 October 2022,Flavour Name: Double Rich ChocolateSize: 3.7 Lbs (1.7 Kg )
I am ordering the same product three timesThis time quality of the powder is patheticDont know why this time pathetic quality.,Reviewed in India on 14 August 2023,Flavour Name: Vanilla Ice CreamSize: 2 Lbs
"Please read this before purchasing!The scratch code written over the box was already tampered, so that you can't even authenticate the genuineness of this product.You can't return this product as well.Which means you have no other option but to regret.The scoop inside was also not the Golden coloured , but some transparent cheap one.",Reviewed in India on 8 January 2022,Flavour Name: Double Rich ChocolateSize: 2 Lbs
"Fake Product delivered, please don’t buy",Reviewed in India on 25 November 2023,Flavour Name: Double Rich ChocolateSize: 2 Lbs
"The media could not be loaded.
                



without tearing neck band we can open it , and inside seal is already broken and protein out from that seal , please refund me asap",Reviewed in India on 12 January 2023,Flavour Name: Double Rich ChocolateSize: 3.7 Lbs (1.7 Kg )
"I doubt if i got original product. Its filled with sugar, almost counter productive to weight loss and  muscle gain.",Reviewed in India on 26 April 2023,Flavour Name: Extreme Milk ChocolateSize: 2 Lbs
This is fake item not original,Reviewed in India on 22 October 2023,Flavour Name: Double Rich ChocolateSize: 2 Lbs
Common Amazon! You can do better. Just because there no regulations on fake products you are letting things to slip away. It is a fake product right from the packaging to the look and feel and taste. DO NOT BUY. Try some other source to get a genuine one.,Reviewed in India on 4 August 2022,Flavour Name: Double Rich ChocolateSize: 2 Lbs
Absolutely no taste or flavor. Tastes like eating raw flour. Contacted Amazon for refund but they were not able to do anything.,Reviewed in India on 24 April 2023,Flavour Name: Vanilla Ice CreamSize: 2 Lbs
